"","initials","year_pub","journal_id","volume","issue","first_author","include","reason"
"1","MB",2020,"EL",23,6,"Shoemaker","No","No Tables"
"2","MB",2020,"EL",23,6,"Siepielski","Yes",NA
"3","MB",2020,"EL",23,6,"Sol","No","No Tables"
"4","MB",2020,"EL",23,6,"Heinen","No","No Tables"
"5","MB",2020,"EL",23,6,"Karakoc","No","No Tables"
"6","MB",2020,"EL",23,6,"Spagopoulou","Yes",NA
"7","MB",2020,"EL",23,6,"Li","No","Paper Type"
"8","MB",2020,"EL",23,6,"Jaquet","No","No Tables"
"9","MB",2020,"EL",23,5,"Lindberg","No","No Tables"
"10","MB",2020,"EL",23,5,"Muthukrishnan","No","No Tables"
"11","MB",2020,"EL",23,5,"Conradi","No","Paper Type"
"12","MB",2020,"EL",23,5,"Kentie","No","No Tables"
"13","MB",2020,"EL",23,5,"Zhang","No","Paper Type"
"14","MB",2020,"EL",23,5,"Hagmayer","Yes",NA
"15","MB",2020,"EL",23,5,"Studd","No","No Tables"
"16","MB",2020,"EL",23,5,"Mutanen","No","No Tables"
"17","MB",2020,"EL",23,5,"Ruiz","No","No Tables"
"18","MB",2020,"EL",23,5,"Andrello","No","No Tables"
"19","MB",2020,"EL",23,5,"Matsubayashi","No","No Tables"
"20","MB",2020,"EL",23,3,"Martinig","Yes",NA
"21","MB",2020,"EL",23,3,"Silvestro","No","Paper Type"
"22","MB",2020,"EL",23,3,"Cattelan","Yes",NA
"23","MB",2020,"EL",23,3,"Bestion","Yes",NA
"24","MB",2020,"EL",23,3,"Chen","No","No Tables"
"25","MB",2020,"EL",23,3,"Beaury","Yes",NA
"26","MB",2020,"EL",23,3,"Koontz","Yes",NA
"27","MB",2020,"EL",23,3,"Bolnick","Yes",NA
"28","MB",2020,"EL",23,3,"Rybicki","No","No Tables"
"29","MB",2020,"EL",23,3,"Field","No","No Tables"
"30","MB",2020,"EL",23,3,"Maurer","No","No Tables"
"31","MB",2020,"EL",23,3,"Faurby","Yes",NA
"32","MB",2020,"EL",23,3,"Ruedenauer","No","No Tables"
"33","MB",2020,"EL",23,3,"Osorio-Olvera","Yes",NA
"34","MB",2020,"EL",23,3,"Milutinovic","No","No Tables"
"35","MB",2020,"EL",23,1,"Bohner","No","No Tables"
"36","MB",2020,"EL",23,1,"Yang","No","No Tables"
"37","MB",2020,"EL",23,1,"Millette","No","No Tables"
"38","MB",2020,"EL",23,1,"Baniaga","No","No Tables"
"39","MB",2020,"EL",23,1,"Searle","Yes",NA
"40","MB",2020,"EL",23,1,"Wilbur","No","No Tables"
"41","MB",2020,"EL",23,1,"Staver","No","No Tables"
"42","MB",2020,"EL",23,1,"Dingemanse","No","No Tables"
"43","MB",2020,"EL",23,1,"Bennett","Yes",NA
"44","MB",2020,"EL",23,1,"Bergamo","Yes",NA
"45","MB",2020,"EL",23,1,"Ford","Yes",NA
"46","MB",2020,"EL",23,1,"Svensson","Yes",NA
"47","MB",2020,"EL",23,1,"Fung","Yes",NA
"48","MB",2020,"EL",23,1,"Fric","No","No Tables"
"49","MB",2020,"EL",23,1,"Anderson","No","No Tables"
"50","MB",2019,"EL",22,11,"Kohl","Yes",NA
"51","MB",2019,"EL",22,11,"Ho","No","No Tables"
"52","MB",2019,"EL",22,11,"Wickman","No","No Tables"
"53","MB",2019,"EL",22,11,"Riley","No","No Tables"
"54","MB",2019,"EL",22,11,"Proulx","No","No Tables"
"55","MB",2019,"EL",22,11,"Maynard","No","No Tables"
"56","MB",2019,"EL",22,11,"Marquez","Yes",NA
"57","MB",2019,"EL",22,11,"Merkle","No","No Tables"
"58","MB",2019,"EL",22,11,"Liu","No","No Tables"
"59","MB",2019,"EL",22,11,"Birzu","No","No Tables"
"60","MB",2019,"EL",22,11,"Limberger","No","No Tables"
"61","MB",2019,"EL",22,11,"McQueen","Yes",NA
"62","MB",2019,"EL",22,11,"Piovia-Scott","No","No Tables"
"63","MB",2019,"EL",22,11,"Aranguren-Gassis","No","No Tables"
"64","MB",2019,"EL",22,11,"Barrios-O'Neill","No","No Tables"
"65","MB",2019,"EL",22,11,"Cameron","Yes",NA
"66","MB",2019,"EL",22,11,"Nottingham","Yes",NA
"67","MB",2019,"EL",22,11,"Condamine","No","No Tables"
"68","MB",2019,"EL",22,9,"Shriver","No","No Tables"
"69","MB",2019,"EL",22,9,"Hackett","No","No Tables"
"70","MB",2019,"EL",22,9,"Zhang","No","No Tables"
"71","MB",2019,"EL",22,9,"Brehm","No","No Tables"
"72","MB",2019,"EL",22,9,"Struckman","Yes",NA
"73","MB",2019,"EL",22,9,"Malerba","No","No Tables"
"74","MB",2019,"EL",22,9,"Bastille-Rousseau","Yes",NA
"75","MB",2019,"EL",22,9,"O'Sullivan","No","No Tables"
"76","MB",2019,"EL",22,9,"Vila-Cabrera","Yes",NA
"77","MB",2019,"EL",22,9,"Luo","Yes",NA
"78","MB",2019,"EL",22,9,"Faithfull","No","No Tables"
"79","MB",2019,"EL",22,9,"Chacon-Labella","No","No Tables"
"80","MB",2019,"EL",22,9,"Veits","No","No Tables"
"81","MB",2019,"EL",22,9,"Marja","No","No Tables"
"82","MB",2019,"EL",22,7,"Ponisio","No","No Tables"
"83","MB",2019,"EL",22,7,"Tabi","No","No Tables"
"84","MB",2019,"EL",22,7,"Pos","No","No Tables"
"85","MB",2019,"EL",22,7,"Martin","No","No Tables"
"86","MB",2019,"EL",22,7,"Fanin","No","No Tables"
"87","MB",2019,"EL",22,7,"Koussoroplis","No","No Tables"
"88","MB",2019,"EL",22,7,"Shoemaker","No","No Tables"
"89","MB",2019,"EL",22,7,"McFadden","No","No Tables"
"90","MB",2019,"EL",22,7,"Borer","Yes",NA
"91","MB",2019,"EL",22,7,"Wubs","No","No Tables"
"92","MB",2019,"EL",22,7,"Zhao","No","No Tables"
"93","MB",2019,"EL",22,5,"Andrade-Restrepo","No","No Tables"
"94","MB",2019,"EL",22,5,"Lindmark","No","Paper Type"
"95","MB",2019,"EL",22,5,"Anderegg","No","No Tables"
"96","MB",2019,"EL",22,5,"Gamelon","Yes",NA
"97","MB",2019,"EL",22,5,"Hayden","No","No Tables"
"98","MB",2019,"EL",22,5,"Cohen","No","Paper Type"
"99","MB",2019,"EL",22,5,"Knowles","No","No Tables"
"100","MB",2019,"EL",22,5,"Rodriguez-Verdugo","Yes",NA
"101","MB",2019,"EL",22,5,"Dornelas","No","No Tables"
"102","MB",2019,"EL",22,5,"Aguirre-Gutierrez","Yes",NA
"103","MB",2019,"EL",22,5,"Torres-Martinez","No","No Tables"
"104","MB",2019,"EL",22,5,"Bird","No","Paper Type"
"105","MB",2019,"EL",22,5,"Dugo-Cota","No","Paper Type"
"106","MB",2019,"EL",22,3,"Moore","Yes",NA
"107","MB",2019,"EL",22,3,"Kelly","No","No Tables"
"108","MB",2019,"EL",22,3,"Song","No","No Tables"
"109","MB",2019,"EL",22,3,"Klumpers","Yes",NA
"110","MB",2019,"EL",22,3,"Brodie","No","No Tables"
"111","MB",2019,"EL",22,3,"Blanco","No","No Tables"
"112","MB",2019,"EL",22,3,"Fernandez","Yes",NA
"113","MB",2019,"EL",22,3,"Smith","No","No Tables"
"114","MB",2019,"EL",22,3,"Pettersen","No","Paper Type"
"115","MB",2019,"EL",22,3,"Healy","No","Paper Type"
"116","MB",2019,"EL",22,3,"Cushman","Yes",NA
"117","MB",2019,"EL",22,3,"Fecchio","No","Paper Type"
"118","MB",2019,"EL",22,1,"Caughlin","No","No Tables"
"119","MB",2019,"EL",22,1,"Endriss","No","No Tables"
