"","initials","year_pub","journal_id","volume","issue","first_author","table_no","table_loc","coefficient","std_error","error_type","sample_size","study_type","mult_hyp..Y...1..N...0.","mult_hyp_corr.Y..1..N...0.","main_results..Y.1..N.0.","data_available","code_available","notes","Checking.Notes","Keep","checked","Bayesian..Y.1..N..0.","report_power","mixed_effects","reason"
"1","LW",2019,"EL",22,6,"Barrow","1","main",521.3,45.3,"SE",3983,"observational",1,0,1,1,0,NA,"These values are leave-out-one cross validation, not model coefficients","no","yes",1,NA,NA,"Not model coef"
"2","LW",2019,"EL",22,6,"Barrow","1","main",434.8,41.1,"SE",3983,"observational",1,0,1,1,0,NA,NA,"no","yes",1,NA,NA,NA
"3","LW",2019,"EL",22,6,"Barrow","1","main",335.3,37,"SE",3983,"observational",1,0,1,1,0,NA,NA,"no","yes",1,NA,NA,NA
"4","LW",2019,"EL",22,6,"Barrow","1","main",36.1,12.1,"SE",3983,"observational",1,0,1,1,0,NA,NA,"no","yes",1,NA,NA,NA
"5","LW",2019,"EL",22,6,"Barrow","1","main",33.5,12.3,"SE",3983,"observational",1,0,1,1,0,NA,NA,"no","yes",1,NA,NA,NA
"6","LW",2019,"EL",22,6,"Barrow","1","main",22,12.6,"SE",3983,"observational",1,0,1,1,0,NA,NA,"no","yes",1,NA,NA,NA
"7","LW",2019,"EL",22,6,"Barrow","1","main",22,12.7,"SE",3983,"observational",1,0,1,1,0,NA,NA,"no","yes",1,NA,NA,NA
"8","LW",2019,"EL",22,6,"Barrow","1","main",15.2,10.2,"SE",3983,"observational",1,0,1,1,0,NA,NA,"no","yes",1,NA,NA,NA
"9","LW",2019,"EL",22,6,"Barrow","1","main",10.2,7.7,"SE",3983,"observational",1,0,1,1,0,NA,NA,"no","yes",1,NA,NA,NA
"10","LW",2019,"EL",22,6,"Barrow","1","main",507.9,46.4,"SE",3983,"observational",1,0,1,1,0,NA,NA,"no","yes",1,NA,NA,NA
"11","LW",2019,"EL",22,6,"Barrow","1","main",374.5,38.4,"SE",3983,"observational",1,0,1,1,0,NA,NA,"no","yes",1,NA,NA,NA
"12","LW",2019,"EL",22,6,"Barrow","1","main",309.1,37,"SE",3983,"observational",1,0,1,1,0,NA,NA,"no","yes",1,NA,NA,NA
"13","LW",2019,"EL",22,6,"Barrow","1","main",10.3,7.1,"SE",3983,"observational",1,0,1,1,0,NA,NA,"no","yes",1,NA,NA,NA
"14","LW",2019,"EL",22,6,"Barrow","1","main",8.9,10.9,"SE",3983,"observational",1,0,1,1,0,NA,NA,"no","yes",1,NA,NA,NA
"15","LW",2019,"EL",22,6,"Barrow","1","main",14.3,10.1,"SE",3983,"observational",1,0,1,1,0,NA,NA,"no","yes",1,NA,NA,NA
"16","LW",2019,"EL",22,6,"Barrow","1","main",32.5,15.2,"SE",3983,"observational",1,0,1,1,0,NA,NA,"no","yes",1,NA,NA,NA
"17","LW",2019,"EL",22,6,"Barrow","1","main",32.4,11.7,"SE",3983,"observational",1,0,1,1,0,NA,NA,"no","yes",1,NA,NA,NA
"18","LW",2019,"EL",22,6,"Barrow","1","main",6.4,9.6,"SE",3983,"observational",1,0,1,1,0,NA,NA,"no","yes",1,NA,NA,NA
"19","LW",2019,"EL",22,6,"Barrow","1","main",252.2,34.6,"SE",3983,"observational",1,0,1,1,0,NA,NA,"no","yes",1,NA,NA,NA
"20","LW",2019,"EL",22,6,"Barrow","1","main",168.4,27.5,"SE",3983,"observational",1,0,1,1,0,NA,NA,"no","yes",1,NA,NA,NA
"21","LW",2019,"EL",22,6,"Barrow","1","main",155.4,26.1,"SE",3983,"observational",1,0,1,1,0,NA,NA,"no","yes",1,NA,NA,NA
"22","LW",2019,"EL",22,6,"Barrow","1","main",19.5,13.7,"SE",3983,"observational",1,0,1,1,0,NA,NA,"no","yes",1,NA,NA,NA
"23","LW",2019,"EL",22,6,"Barrow","1","main",33.2,14.6,"SE",3983,"observational",1,0,1,1,0,NA,NA,"no","yes",1,NA,NA,NA
"24","LW",2019,"EL",22,6,"Barrow","1","main",28.6,14.2,"SE",3983,"observational",1,0,1,1,0,NA,NA,"no","yes",1,NA,NA,NA
"25","LW",2019,"EL",22,6,"Barrow","1","main",13,8.8,"SE",3983,"observational",1,0,1,1,0,NA,NA,"no","yes",1,NA,NA,NA
"26","LW",2019,"EL",22,6,"Barrow","1","main",18.4,9.7,"SE",3983,"observational",1,0,1,1,0,NA,NA,"no","yes",1,NA,NA,NA
"27","LW",2019,"EL",22,6,"Barrow","1","main",2.5,4.9,"SE",3983,"observational",1,0,1,1,0,NA,NA,"no","yes",1,NA,NA,NA
"28","LW",2019,"EL",22,6,"Barrow","1","main",454.3,41.3,"SE",3983,"observational",1,0,1,1,0,NA,NA,"no","yes",1,NA,NA,NA
"29","LW",2019,"EL",22,6,"Barrow","1","main",240.5,31.7,"SE",3983,"observational",1,0,1,1,0,NA,NA,"no","yes",1,NA,NA,NA
"30","LW",2019,"EL",22,6,"Barrow","1","main",170.6,29.8,"SE",3983,"observational",1,0,1,1,0,NA,NA,"no","yes",1,NA,NA,NA
"31","LW",2019,"EL",22,6,"Barrow","1","main",7.8,7.2,"SE",3983,"observational",1,0,1,1,0,NA,NA,"no","yes",1,NA,NA,NA
"32","LW",2019,"EL",22,6,"Barrow","1","main",6.9,12.3,"SE",3983,"observational",1,0,1,1,0,NA,NA,"no","yes",1,NA,NA,NA
"33","LW",2019,"EL",22,6,"Barrow","1","main",89.9,18.6,"SE",3983,"observational",1,0,1,1,0,NA,NA,"no","yes",1,NA,NA,NA
