initials,year_pub,journal_id,volume,issue,first_author,include,reason,,,
MB,2020,EL,23,6,Shoemaker,No,no_tables,,,
MB,2020,EL,23,6,Siepielski,Yes,NA,,,
MB,2020,EL,23,6,Sol,No,no_tables,,,
MB,2020,EL,23,6,Heinen,No,no_tables,,,
MB,2020,EL,23,6,Karakoc,No,no_tables,,,
MB,2020,EL,23,6,Spagopoulou,Yes,NA,,,
MB,2020,EL,23,6,Li,No,paper_type,,,
MB,2020,EL,23,6,Jaquet,No,no_tables,,,
MB,2020,EL,23,5,Lindberg,No,no_tables,,,
MB,2020,EL,23,5,Muthukrishnan,No,no_tables,,,
MB,2020,EL,23,5,Conradi,No,paper_type,,,
MB,2020,EL,23,5,Kentie,No,no_tables,,,
MB,2020,EL,23,5,Zhang,No,paper_type,,,
MB,2020,EL,23,5,Hagmayer,Yes,NA,,,
MB,2020,EL,23,5,Studd,No,no_tables,,,
MB,2020,EL,23,5,Mutanen,No,no_tables,,,
MB,2020,EL,23,5,Ruiz,No,no_tables,,,
MB,2020,EL,23,5,Andrello,No,no_tables,,,
MB,2020,EL,23,5,Matsubayashi,No,no_tables,,,
MB,2020,EL,23,3,Martinig,Yes,NA,,,
MB,2020,EL,23,3,Silvestro,No,paper_type,,,
MB,2020,EL,23,3,Cattelan,Yes,NA,,,
MB,2020,EL,23,3,Bestion,Yes,NA,,,
MB,2020,EL,23,3,Chen,No,no_tables,,,
MB,2020,EL,23,3,Beaury,Yes,NA,,,
MB,2020,EL,23,3,Koontz,Yes,NA,,,
MB,2020,EL,23,3,Bolnick,Yes,NA,,,
MB,2020,EL,23,3,Rybicki,No,no_tables,,,
MB,2020,EL,23,3,Field,No,no_tables,,,
MB,2020,EL,23,3,Maurer,No,no_tables,,,
MB,2020,EL,23,3,Faurby,Yes,NA,,,
MB,2020,EL,23,3,Ruedenauer,No,no_tables,,,
MB,2020,EL,23,3,Osorio-Olvera,Yes,NA,,,
MB,2020,EL,23,3,Milutinovic,No,no_tables,,,
MB,2020,EL,23,1,Bohner,No,no_tables,,,
MB,2020,EL,23,1,Yang,No,no_tables,,,
MB,2020,EL,23,1,Millette,No,no_tables,,,
MB,2020,EL,23,1,Baniaga,No,no_tables,,,
MB,2020,EL,23,1,Searle,Yes,NA,,,
MB,2020,EL,23,1,Wilbur,No,no_tables,,,
MB,2020,EL,23,1,Staver,No,no_tables,,,
MB,2020,EL,23,1,Dingemanse,No,no_tables,,,
MB,2020,EL,23,1,Bennett,Yes,NA,,,
MB,2020,EL,23,1,Bergamo,Yes,NA,,,
MB,2020,EL,23,1,Ford,Yes,NA,,,
