initials,year_pub,journal_id,volume,issue,first_author,table_no,table_loc,coefficient,std_error,error_type,sample_size,study_type,mult_hyp (Y = 1; N = 0),mult_hyp_corr(Y =1; N = 0),main_results (Y=1; N=0),data_available,code_available,notes,Checking Notes,Keep,checked,"Bayesian (Y=1, N =0)",report_power,mixed_effects
LW,2019,EL,22,6,Barrow,1,main,521.3,45.3,SE,3983,Observational,1,0,1,1,0,,"These values are leave-out-one cross validation, not model coefficients",no,yes,1,,
LW,2019,EL,22,6,Barrow,1,main,434.8,41.1,SE,3983,Observational,1,0,1,1,0,,,no,yes,1,,
LW,2019,EL,22,6,Barrow,1,main,335.3,37,SE,3983,Observational,1,0,1,1,0,,,no,yes,1,,
LW,2019,EL,22,6,Barrow,1,main,36.1,12.1,SE,3983,Observational,1,0,1,1,0,,,no,yes,1,,
LW,2019,EL,22,6,Barrow,1,main,33.5,12.3,SE,3983,Observational,1,0,1,1,0,,,no,yes,1,,
LW,2019,EL,22,6,Barrow,1,main,22,12.6,SE,3983,Observational,1,0,1,1,0,,,no,yes,1,,
LW,2019,EL,22,6,Barrow,1,main,22,12.7,SE,3983,Observational,1,0,1,1,0,,,no,yes,1,,
LW,2019,EL,22,6,Barrow,1,main,15.2,10.2,SE,3983,Observational,1,0,1,1,0,,,no,yes,1,,
LW,2019,EL,22,6,Barrow,1,main,10.2,7.7,SE,3983,Observational,1,0,1,1,0,,,no,yes,1,,
LW,2019,EL,22,6,Barrow,1,main,507.9,46.4,SE,3983,Observational,1,0,1,1,0,,,no,yes,1,,
LW,2019,EL,22,6,Barrow,1,main,374.5,38.4,SE,3983,Observational,1,0,1,1,0,,,no,yes,1,,
LW,2019,EL,22,6,Barrow,1,main,309.1,37,SE,3983,Observational,1,0,1,1,0,,,no,yes,1,,
LW,2019,EL,22,6,Barrow,1,main,10.3,7.1,SE,3983,Observational,1,0,1,1,0,,,no,yes,1,,
LW,2019,EL,22,6,Barrow,1,main,8.9,10.9,SE,3983,Observational,1,0,1,1,0,,,no,yes,1,,
LW,2019,EL,22,6,Barrow,1,main,14.3,10.1,SE,3983,Observational,1,0,1,1,0,,,no,yes,1,,
LW,2019,EL,22,6,Barrow,1,main,32.5,15.2,SE,3983,Observational,1,0,1,1,0,,,no,yes,1,,
LW,2019,EL,22,6,Barrow,1,main,32.4,11.7,SE,3983,Observational,1,0,1,1,0,,,no,yes,1,,
LW,2019,EL,22,6,Barrow,1,main,6.4,9.6,SE,3983,Observational,1,0,1,1,0,,,no,yes,1,,
LW,2019,EL,22,6,Barrow,1,main,252.2,34.6,SE,3983,Observational,1,0,1,1,0,,,no,yes,1,,
LW,2019,EL,22,6,Barrow,1,main,168.4,27.5,SE,3983,Observational,1,0,1,1,0,,,no,yes,1,,
LW,2019,EL,22,6,Barrow,1,main,155.4,26.1,SE,3983,Observational,1,0,1,1,0,,,no,yes,1,,
LW,2019,EL,22,6,Barrow,1,main,19.5,13.7,SE,3983,Observational,1,0,1,1,0,,,no,yes,1,,
LW,2019,EL,22,6,Barrow,1,main,33.2,14.6,SE,3983,Observational,1,0,1,1,0,,,no,yes,1,,
LW,2019,EL,22,6,Barrow,1,main,28.6,14.2,SE,3983,Observational,1,0,1,1,0,,,no,yes,1,,
LW,2019,EL,22,6,Barrow,1,main,13,8.8,SE,3983,Observational,1,0,1,1,0,,,no,yes,1,,
LW,2019,EL,22,6,Barrow,1,main,18.4,9.7,SE,3983,Observational,1,0,1,1,0,,,no,yes,1,,
LW,2019,EL,22,6,Barrow,1,main,2.5,4.9,SE,3983,Observational,1,0,1,1,0,,,no,yes,1,,
LW,2019,EL,22,6,Barrow,1,main,454.3,41.3,SE,3983,Observational,1,0,1,1,0,,,no,yes,1,,
LW,2019,EL,22,6,Barrow,1,main,240.5,31.7,SE,3983,Observational,1,0,1,1,0,,,no,yes,1,,
LW,2019,EL,22,6,Barrow,1,main,170.6,29.8,SE,3983,Observational,1,0,1,1,0,,,no,yes,1,,
LW,2019,EL,22,6,Barrow,1,main,7.8,7.2,SE,3983,Observational,1,0,1,1,0,,,no,yes,1,,
LW,2019,EL,22,6,Barrow,1,main,6.9,12.3,SE,3983,Observational,1,0,1,1,0,,,no,yes,1,,
LW,2019,EL,22,6,Barrow,1,main,89.9,18.6,SE,3983,Observational,1,0,1,1,0,,,no,yes,1,,
LW,2019,EL,22,6,Barrow,1,main,24.3,15.1,SE,3983,Observational,1,0,1,1,0,,,no,yes,1,,
LW,2019,EL,22,6,Barrow,1,main,20.3,9.7,SE,3983,Observational,1,0,1,1,0,,,no,yes,1,,
LW,2019,EL,22,6,Barrow,1,main,2.9,11.3,SE,3983,Observational,1,0,1,1,0,,,no,yes,1,,
LW,2019,EL,22,12,Bloom,1,main,-0.031,0.05,CI,128,Observational,1,0,1,1,0,,,yes,yes,0,0,1
LW,2019,EL,22,12,Bloom,1,main,0.057,0.033,CI,128,Observational,1,0,1,1,0,,,yes,yes,0,0,1
LW,2019,EL,22,12,Bloom,1,main,-0.014,0.039,CI,128,Observational,1,0,1,1,0,,,yes,yes,0,0,1
LW,2019,EL,22,12,Bloom,1,main,-0.11,0.07,CI,128,Observational,1,0,1,1,0,,,yes,yes,0,0,1
