StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q1,Q2,Q3,Q4,Q5,Q7,clicked,Create New Field or Choose From Dropdown...
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,"Survey on Statistical Power in Ecology

 

Welcome!

All responses to this survey are anonymous. This survey will ask you questions about statistical power in ecological studies. It should take you fewer than 3 minutes to complete. By completing this survey, you are consenting to be in this research study. Your participation is voluntary, and you can stop at any time.



If you would like more information, please contact Dr. Meghan Avolio (meghan.avolio@jhu.edu).



Thank you, 

Meghan Avolio

Johns Hopkins University

 

If you are an ecologist and have a graduate degree, or are in a graduate program, please select ""I agree to participate"".","Statistical power is an important attribute of empirical designs in ecology. Using studies published between January 2018 and May 2020 in 5 top ecology journals, we calculated the power of the studies’ statistical tests using the methods of ﻿Ioannidis et al. 2017(doi: 10.1111/ecoj.12461).



Recall that statistical power of a statistical test is the probability of rejecting the null hypothesis when it is false. It can be impacted by the sample size of the study and the magnitude of the effect size, among other things. 




What percentage of tests do you think passed the conventional target of 80% power?",Do you conduct ecological experiments?,Do you perform power analyses before starting a new experiment?,What is your current position?,If other: What is your current position?,clicked,Create New Field or Choose From Dropdown...
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID2""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7_TEXT""}","{""ImportId"":""clicked""}","{""ImportId"":""Create New Field or Choose From Dropdown...""}"
2021-01-28 10:37:32,2021-01-28 10:38:25,IP Address,100,53,True,2021-01-28 10:38:25,R_2CliNE97VOEnuGp,anonymous,EN,I agree to participate,50 - 60%,Yes,Less than 25% of the time,Researcher outside academia,,0,
2021-01-28 10:40:09,2021-01-28 10:41:46,IP Address,100,96,True,2021-01-28 10:41:46,R_3s09cMlqamrfgiv,anonymous,EN,I agree to participate,70 - 80%,Yes,Less than 25% of the time,Graduate Student,,0,
2021-01-28 10:41:43,2021-01-28 10:42:31,IP Address,100,47,True,2021-01-28 10:42:31,R_3JI5vbMz5QWqyfT,anonymous,EN,I agree to participate,50 - 60%,No,,Post-doc,,0,
2021-01-28 10:42:16,2021-01-28 10:44:08,IP Address,100,112,True,2021-01-28 10:44:09,R_zcW2QqKwYWe9rQl,anonymous,EN,I agree to participate,40 - 50%,Yes,75% or more of the time,Faculty,,0,
2021-01-28 10:43:19,2021-01-28 10:44:28,IP Address,100,69,True,2021-01-28 10:44:29,R_3JgdTy7GYArqfLw,anonymous,EN,I agree to participate,70 - 80%,Yes,Less than 25% of the time,Graduate Student,,0,
2021-01-28 10:43:33,2021-01-28 10:44:49,IP Address,100,76,True,2021-01-28 10:44:49,R_0J4mNIm8zvOnVCh,anonymous,EN,I agree to participate,70 - 80%,Yes,Less than 25% of the time,Faculty,,0,
2021-01-28 10:44:18,2021-01-28 10:46:37,IP Address,100,138,True,2021-01-28 10:46:38,R_10veM5nfMJOpOZL,anonymous,EN,I agree to participate,60 - 70%,Yes,Less than 25% of the time,Graduate Student,,0,
2021-01-28 11:11:27,2021-01-28 11:12:11,IP Address,100,44,True,2021-01-28 11:12:12,R_RCgHBc9TEm5Pa3n,anonymous,EN,I agree to participate,60 - 70%,Yes,Less than 25% of the time,Graduate Student,,0,
2021-01-28 11:15:32,2021-01-28 11:16:19,IP Address,100,47,True,2021-01-28 11:16:19,R_32LYHLKTBAvfEn3,anonymous,EN,I agree to participate,70 - 80%,Yes,Less than 25% of the time,Post-doc,,0,
2021-01-28 11:14:12,2021-01-28 11:18:01,IP Address,100,228,True,2021-01-28 11:18:01,R_2rBClsgm0WaGr3i,anonymous,EN,I agree to participate,30 - 40%,No,,Faculty,,0,
2021-01-28 11:20:26,2021-01-28 11:21:06,IP Address,100,40,True,2021-01-28 11:21:07,R_1mmbf7WCuedwKKS,anonymous,EN,I agree to participate,20 - 30%,Yes,Less than 25% of the time,Post-doc,,0,
2021-01-28 11:21:05,2021-01-28 11:21:48,IP Address,100,42,True,2021-01-28 11:21:48,R_9Fi43SWAGd4I12N,anonymous,EN,I agree to participate,50 - 60%,Yes,Less than 25% of the time,Faculty,,0,
2021-01-28 11:24:09,2021-01-28 11:24:57,IP Address,100,48,True,2021-01-28 11:24:58,R_2vkbCobNtgH5DRy,anonymous,EN,I agree to participate,40 - 50%,Yes,75% or more of the time,Graduate Student,,0,
2021-01-28 11:29:09,2021-01-28 11:29:34,IP Address,100,25,True,2021-01-28 11:29:34,R_1Hdj7r8Q21G8o2v,anonymous,EN,I agree to participate,40 - 50%,Yes,Less than 25% of the time,Post-doc,,0,
2021-01-28 11:30:03,2021-01-28 11:36:59,IP Address,100,415,True,2021-01-28 11:36:59,R_2Ph5XDPjMTe8Jyo,anonymous,EN,I agree to participate,50 - 60%,Yes,25 - 50% of the time,Graduate Student,,0,
2021-01-28 11:40:22,2021-01-28 11:40:59,IP Address,100,37,True,2021-01-28 11:41:00,R_3fTZoA04M6WHflr,anonymous,EN,I agree to participate,70 - 80%,Yes,Never,Post-doc,,0,
2021-01-28 11:43:07,2021-01-28 11:43:58,IP Address,100,50,True,2021-01-28 11:43:58,R_2S6qVjvYT9aXU4F,anonymous,EN,I agree to participate,20 - 30%,Yes,Always,Faculty,,0,
2021-01-28 11:42:50,2021-01-28 11:44:02,IP Address,100,71,True,2021-01-28 11:44:02,R_2DN5Kx2VEyqMGSI,anonymous,EN,I agree to participate,50 - 60%,Yes,Less than 25% of the time,Researcher outside academia,,0,
2021-01-28 11:42:46,2021-01-28 11:44:10,IP Address,100,83,True,2021-01-28 11:44:10,R_2OUXqSi8y41hDtu,anonymous,EN,I agree to participate,40 - 50%,Yes,25 - 50% of the time,Post-doc,,0,
2021-01-28 11:46:36,2021-01-28 11:48:24,IP Address,100,107,True,2021-01-28 11:48:24,R_T4MFztDrlODJfMd,anonymous,EN,I agree to participate,70 - 80%,Yes,Less than 25% of the time,Graduate Student,,0,
2021-01-28 11:48:34,2021-01-28 11:49:42,IP Address,100,67,True,2021-01-28 11:49:42,R_1jfZiPf2bXirfM6,anonymous,EN,I agree to participate,60 - 70%,Yes,25 - 50% of the time,Graduate Student,,0,
2021-01-28 11:49:25,2021-01-28 11:50:56,IP Address,100,91,True,2021-01-28 11:50:57,R_3oQSFMe5vV7mteb,anonymous,EN,I agree to participate,50 - 60%,Yes,Less than 25% of the time,Post-doc,,0,
2021-01-28 12:03:27,2021-01-28 12:04:08,IP Address,100,40,True,2021-01-28 12:04:08,R_1CIOKJUw6ETAdj4,anonymous,EN,I agree to participate,30 - 40%,Yes,50 - 75% of the time,Researcher outside academia,,0,
2021-01-28 12:12:47,2021-01-28 12:14:11,IP Address,100,83,True,2021-01-28 12:14:11,R_3G9xCPvxJQHMs8R,anonymous,EN,I agree to participate,60 - 70%,No,,Graduate Student,,0,
2021-01-28 12:13:42,2021-01-28 12:14:35,IP Address,100,52,True,2021-01-28 12:14:35,R_1q3dU2nukFkCsIu,anonymous,EN,I agree to participate,30 - 40%,Yes,75% or more of the time,Graduate Student,,0,
2021-01-28 12:19:28,2021-01-28 12:21:05,IP Address,100,97,True,2021-01-28 12:21:06,R_23ZBLmrNLWvREvE,anonymous,EN,I agree to participate,30 - 40%,Yes,25 - 50% of the time,Researcher outside academia,,0,
2021-01-28 12:21:37,2021-01-28 12:22:20,IP Address,100,42,True,2021-01-28 12:22:20,R_7R7CCNS7b30JE9H,anonymous,EN,I agree to participate,30 - 40%,Yes,75% or more of the time,Faculty,,0,
2021-01-28 12:29:33,2021-01-28 12:30:33,IP Address,100,60,True,2021-01-28 12:30:33,R_O7pQo7S8JdCeZot,anonymous,EN,I agree to participate,40 - 50%,Yes,50 - 75% of the time,Researcher outside academia,,0,
2021-01-28 12:31:05,2021-01-28 12:31:49,IP Address,100,44,True,2021-01-28 12:31:49,R_1fkemBqNJiEWkgW,anonymous,EN,I agree to participate,50 - 60%,No,,Faculty,,1,
